Date;Time;
15/01/1995;00:38:00;
15/01/1995;00:38:10;
15/01/1995;00:38:20;
15/01/1995;00:38:30;
15/01/1995;00:38:40;
15/01/1995;00:38:50;
15/01/1995;00:39:00;
15/01/1995;00:39:10;
15/01/1995;00:39:20;
15/01/1995;00:39:30;
15/01/1995;00:39:40;
15/01/1995;00:39:50;
15/01/1995;00:40:00;
15/01/1995;00:40:10;
15/01/1995;00:40:20;
15/01/1995;00:40:30;
15/01/1995;00:40:40;
15/01/1995;00:40:50;
15/01/1995;00:41:00;
15/01/1995;00:41:10;
15/01/1995;00:41:20;
15/01/1995;00:41:30;
15/01/1995;00:41:40;
15/01/1995;00:41:50;
15/01/1995;00:42:00;
15/01/1995;00:42:10;
15/01/1995;00:42:20;
15/01/1995;00:42:30;
15/01/1995;00:42:40;
15/01/1995;00:42:50;
15/01/1995;00:43:00;
15/01/1995;00:43:10;
15/01/1995;00:43:20;
15/01/1995;00:43:30;
15/01/1995;00:43:40;
15/01/1995;00:43:50;
15/01/1995;00:44:00;
15/01/1995;00:44:10;
15/01/1995;00:44:20;
15/01/1995;00:44:30;
15/01/1995;00:44:40;
15/01/1995;00:44:50;
15/01/1995;00:45:00;
15/01/1995;00:45:10;
15/01/1995;00:45:20;
15/01/1995;00:45:30;
15/01/1995;00:45:40;
15/01/1995;00:45:50;
15/01/1995;00:46:00;
15/01/1995;00:46:10;
15/01/1995;00:46:20;
15/01/1995;00:46:30;
15/01/1995;00:46:40;
15/01/1995;00:46:50;
15/01/1995;00:47:00;
15/01/1995;00:47:10;
15/01/1995;00:47:20;
15/01/1995;00:47:30;
15/01/1995;00:47:40;
15/01/1995;00:47:50;
15/01/1995;00:48:00;
15/01/1995;00:48:10;
15/01/1995;00:48:20;
15/01/1995;00:48:30;
15/01/1995;00:48:40;
15/01/1995;00:48:50;
15/01/1995;00:49:00;
15/01/1995;00:49:10;
15/01/1995;00:49:20;
15/01/1995;00:49:30;
15/01/1995;00:49:40;
15/01/1995;00:49:50;
15/01/1995;00:50:00;
15/01/1995;00:50:10;
15/01/1995;00:50:20;
15/01/1995;00:50:30;
15/01/1995;00:50:40;
15/01/1995;00:50:50;
15/01/1995;00:51:00;
15/01/1995;00:51:10;
15/01/1995;00:51:20;
15/01/1995;00:51:30;
15/01/1995;00:51:40;
15/01/1995;00:51:50;
15/01/1995;00:52:00;
15/01/1995;00:52:10;
15/01/1995;00:52:20;
15/01/1995;00:52:30;
15/01/1995;00:52:40;
15/01/1995;00:52:50;
15/01/1995;00:53:00;
15/01/1995;00:53:10;
15/01/1995;00:53:20;
15/01/1995;00:53:30;
15/01/1995;00:53:40;
15/01/1995;00:53:50;
15/01/1995;00:54:00;
15/01/1995;00:54:10;
15/01/1995;00:54:20;
15/01/1995;00:54:30;
15/01/1995;00:54:40;
15/01/1995;00:54:50;
15/01/1995;00:55:00;
15/01/1995;00:55:10;
15/01/1995;00:55:20;
15/01/1995;00:55:30;
15/01/1995;00:55:40;
15/01/1995;00:55:50;
15/01/1995;00:56:00;
15/01/1995;00:56:10;
15/01/1995;00:56:20;
15/01/1995;00:56:30;
15/01/1995;00:56:40;
15/01/1995;00:56:50;
15/01/1995;00:57:00;
15/01/1995;00:57:10;
15/01/1995;00:57:20;
15/01/1995;00:57:30;
15/01/1995;00:57:40;
15/01/1995;00:57:50;
15/01/1995;00:58:00;
15/01/1995;00:58:10;
15/01/1995;00:58:20;
15/01/1995;00:58:30;
15/01/1995;00:58:40;
15/01/1995;00:58:50;
15/01/1995;00:59:00;
15/01/1995;00:59:10;
15/01/1995;00:59:20;
15/01/1995;00:59:30;
15/01/1995;00:59:40;
15/01/1995;00:59:50;
15/01/1995;01:00:00;
15/01/1995;01:00:10;
15/01/1995;01:00:20;
15/01/1995;01:00:30;
15/01/1995;01:00:40;
15/01/1995;01:00:50;
