Date;Time;city_LightingFull_activePower_sum;lg0_LightingFull_activePower_sum;lg1_LightingFull_activePower_sum;lg2_LightingFull_activePower_sum;lg3_LightingFull_activePower_sum;lg4_LightingFull_activePower_sum;lg5_LightingFull_activePower_sum;city_RefrigeratorFull_activePower_sum;lg0_RefrigeratorFull_activePower_sum;lg1_RefrigeratorFull_activePower_sum;lg2_RefrigeratorFull_activePower_sum;lg3_RefrigeratorFull_activePower_sum;lg4_RefrigeratorFull_activePower_sum;lg5_RefrigeratorFull_activePower_sum;city_FreezerFull_activePower_sum;lg0_FreezerFull_activePower_sum;lg1_FreezerFull_activePower_sum;lg2_FreezerFull_activePower_sum;lg3_FreezerFull_activePower_sum;lg4_FreezerFull_activePower_sum;lg5_FreezerFull_activePower_sum;
15/01/1995;00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;158031,1999999996;4115,400000000003;57369,00000000019;13851,999999999998;27711,599999999944;36799,59999999997;18183,59999999998;134336,80000000063;4649,600000000001;46699,2000000001;9599,199999999997;25956,79999999996;34347,99999999997;13083,999999999989;
15/01/1995;00:00:10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;157598,79999999973;4115,400000000003;56936,60000000018;13635,8;27927,799999999945;36583,399999999965;18399,79999999998;133463,20000000077;4358,4000000000015;46699,2000000001;9307,999999999996;25956,79999999996;34056,79999999997;13083,999999999989;
15/01/1995;00:00:20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;156950,19999999978;4115,400000000003;56720,40000000018;13419,599999999999;27927,799999999945;36367,19999999997;18399,79999999998;133463,20000000077;4358,4000000000015;46699,2000000001;9307,999999999996;25956,79999999996;34056,79999999997;13083,999999999989;
15/01/1995;00:00:30;0,0;0,0;0,0;0,0;0,0;0,0;0,0;156085,39999999985;4115,400000000003;56720,40000000018;13203,399999999998;27711,599999999944;35934,799999999974;18399,79999999998;133172,0000000008;4358,4000000000015;46699,2000000001;9016,800000000003;25956,79999999996;34056,79999999997;13083,999999999989;
15/01/1995;00:00:40;0,0;0,0;0,0;0,0;0,0;0,0;0,0;155652,99999999988;3899,200000000003;56720,40000000018;13203,399999999998;27711,599999999944;35718,59999999998;18399,79999999998;133172,0000000008;4358,4000000000015;46699,2000000001;9016,800000000003;25956,79999999996;34056,79999999997;13083,999999999989;
15/01/1995;00:00:50;0,0;0,0;0,0;0,0;0,0;0,0;0,0;155220,59999999992;4115,400000000003;56504,200000000186;13203,399999999998;27495,399999999943;35718,59999999998;18183,59999999998;133463,20000000077;4358,4000000000015;46699,2000000001;9016,800000000003;25956,79999999996;34056,79999999997;13375,19999999999;
15/01/1995;00:01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;154788,19999999995;4331,600000000003;56288,00000000019;12987,199999999997;27495,39999999994;35502,39999999997;18183,59999999998;134045,60000000073;4358,4000000000015;46408,0000000001;9307,999999999996;25956,79999999996;34347,999999999985;13666,39999999999;
15/01/1995;00:01:10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;153707,20000000007;4331,600000000003;55423,200000000186;12987,199999999997;27062,999999999938;35718,59999999998;18183,59999999998;134045,60000000073;4067,2000000000016;46408,0000000001;9307,999999999996;25956,79999999996;34639,19999999998;13666,39999999999;
15/01/1995;00:01:20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;153491,00000000006;4331,600000000003;55423,200000000186;12987,199999999997;27279,19999999994;35502,399999999965;17967,39999999998;133172,0000000008;4067,2000000000016;46116,800000000105;9307,999999999996;25956,79999999996;34347,999999999985;13375,19999999999;
15/01/1995;00:01:30;0,0;0,0;0,0;0,0;0,0;0,0;0,0;153058,60000000012;4331,600000000003;55423,200000000186;12770,999999999996;27279,19999999994;35286,19999999996;17967,39999999998;132298,40000000078;4067,2000000000016;45825,60000000009;9307,999999999996;25956,79999999996;34056,79999999997;13083,999999999989;
