Date;Time;lg0b1pb_activePower;lg1b1pb_activePower;lg2b1pb_activePower;lg3b1pb_activePower;lg4b1pb_activePower;lg5b1pb_activePower;
15/01/1995;00:07:30;14064,999999999998;156848,8000000001;31628,2;77995,99999999999;102723,19999999992;47797,600000000006;
15/01/1995;00:07:40;14064,999999999998;156848,8000000001;31628,2;77995,99999999999;102723,19999999992;47797,600000000006;
15/01/1995;00:07:50;14064,999999999998;156848,8000000001;31628,2;77995,99999999999;102723,19999999992;47797,600000000006;
15/01/1995;00:08:00;14064,999999999998;157065,00000000012;31412,0;77995,99999999999;102723,19999999992;47215,20000000001;
15/01/1995;00:08:10;14064,999999999998;157065,00000000012;31412,0;77995,99999999999;102723,19999999992;47215,20000000001;
15/01/1995;00:08:20;14064,999999999998;157065,00000000012;31412,0;77995,99999999999;102723,19999999992;47215,20000000001;
15/01/1995;00:08:30;14064,999999999998;156416,40000000008;31703,2;78719,59999999999;103155,59999999992;47431,40000000001;
15/01/1995;00:08:40;14064,999999999998;156416,40000000008;31703,2;78719,59999999999;103155,59999999992;47431,40000000001;
15/01/1995;00:08:50;14064,999999999998;156416,40000000008;31703,2;78719,59999999999;103155,59999999992;47431,40000000001;
15/01/1995;00:09:00;14064,999999999998;156998,8000000001;31703,2;78935,79999999997;101492,19999999992;47215,20000000001;
15/01/1995;00:09:10;14064,999999999998;156998,8000000001;31703,2;78935,79999999997;101492,19999999992;47215,20000000001;
15/01/1995;00:09:20;14064,999999999998;156998,8000000001;31703,2;78935,79999999997;101492,19999999992;47215,20000000001;
15/01/1995;00:09:30;14064,999999999998;156641,4000000001;31919,4;78353,39999999998;100552,39999999994;46999,000000000015;
15/01/1995;00:09:40;14064,999999999998;156641,4000000001;31919,4;78353,39999999998;100552,39999999994;46999,000000000015;
15/01/1995;00:09:50;14064,999999999998;156641,4000000001;31919,4;78353,39999999998;100552,39999999994;46999,000000000015;
15/01/1995;00:10:00;14064,999999999998;155992,8000000001;31778,2;78428,4;100627,39999999994;47365,20000000001;
15/01/1995;00:10:10;14064,999999999998;155992,8000000001;31778,2;78428,4;100627,39999999994;47365,20000000001;
15/01/1995;00:10:20;14064,999999999998;155992,8000000001;31778,2;78428,4;100627,39999999994;47365,20000000001;
15/01/1995;00:10:30;14281,199999999999;155560,40000000008;31562,0;78935,79999999999;100552,39999999994;46641,60000000001;
15/01/1995;00:10:40;14281,199999999999;155560,40000000008;31562,0;78935,79999999999;100552,39999999994;46641,60000000001;
15/01/1995;00:10:50;14281,199999999999;155560,40000000008;31562,0;78935,79999999999;100552,39999999994;46641,60000000001;
15/01/1995;00:11:00;14281,199999999999;156434,00000000012;30763,399999999998;78503,4;100261,19999999992;46209,20000000002;
15/01/1995;00:11:10;14281,199999999999;156434,00000000012;30763,399999999998;78503,4;100261,19999999992;46209,20000000002;
15/01/1995;00:11:20;14281,199999999999;156434,00000000012;30763,399999999998;78503,4;100261,19999999992;46209,20000000002;
15/01/1995;00:11:30;14497,4;155569,20000000013;30255,999999999996;77272,40000000001;100261,19999999992;46209,20000000002;
15/01/1995;00:11:40;14497,4;155569,20000000013;30255,999999999996;77272,40000000001;100261,19999999992;46209,20000000002;
15/01/1995;00:11:50;14497,4;155569,20000000013;30255,999999999996;77272,40000000001;100261,19999999992;46209,20000000002;
15/01/1995;00:12:00;14497,4;155494,2000000001;29391,199999999993;76407,6;99828,79999999993;46209,20000000002;
15/01/1995;00:12:10;14497,4;155494,2000000001;29391,199999999993;76407,6;99828,79999999993;46209,20000000002;
15/01/1995;00:12:20;14497,4;155494,2000000001;29391,199999999993;76407,6;99828,79999999993;46209,20000000002;
15/01/1995;00:12:30;14065,0;156217,8000000001;29174,999999999996;76915,00000000001;99105,19999999994;46284,200000000026;
15/01/1995;00:12:40;14065,0;156217,8000000001;29174,999999999996;76915,00000000001;99105,19999999994;46284,200000000026;
15/01/1995;00:12:50;14065,0;156217,8000000001;29174,999999999996;76915,00000000001;99105,19999999994;46284,200000000026;
15/01/1995;00:13:00;13848,8;154986,8000000001;28667,599999999995;75617,80000000002;97582,99999999994;46716,60000000002;
15/01/1995;00:13:10;13848,8;154986,8000000001;28667,599999999995;75617,80000000002;97582,99999999994;46716,60000000002;
15/01/1995;00:13:20;13848,8;154986,8000000001;28667,599999999995;75617,80000000002;97582,99999999994;46716,60000000002;
15/01/1995;00:13:30;13848,8;154338,20000000007;28883,799999999996;75617,80000000002;96784,39999999995;46716,60000000002;
15/01/1995;00:13:40;13848,8;154338,20000000007;28883,799999999996;75617,80000000002;96784,39999999995;46716,60000000002;
15/01/1995;00:13:50;13848,8;154338,20000000007;28883,799999999996;75617,80000000002;96784,39999999995;46716,60000000002;
15/01/1995;00:14:00;13848,799999999997;153257,20000000007;28376,399999999998;75984,00000000003;95187,19999999997;47007,80000000002;
15/01/1995;00:14:10;13848,799999999997;153257,20000000007;28376,399999999998;75984,00000000003;95187,19999999997;47007,80000000002;
15/01/1995;00:14:20;13848,799999999997;153257,20000000007;28376,399999999998;75984,00000000003;95187,19999999997;47007,80000000002;
15/01/1995;00:14:30;14064,999999999998;153116,00000000006;28592,6;76059,00000000001;95478,39999999997;46650,40000000002;
15/01/1995;00:14:40;14064,999999999998;153116,00000000006;28592,6;76059,00000000001;95478,39999999997;46650,40000000002;
15/01/1995;00:14:50;14064,999999999998;153116,00000000006;28592,6;76059,00000000001;95478,39999999997;46650,40000000002;
15/01/1995;00:15:00;14431,199999999999;153116,00000000006;28592,6;76059,00000000001;95045,99999999997;46218,000000000015;
15/01/1995;00:15:10;14431,199999999999;153116,00000000006;28592,6;76059,00000000001;95045,99999999997;46218,000000000015;
15/01/1995;00:15:20;14431,199999999999;153116,00000000006;28592,6;76059,00000000001;95045,99999999997;46218,000000000015;
15/01/1995;00:15:30;14431,199999999999;152824,80000000005;28301,399999999998;76857,60000000002;94247,39999999997;46509,200000000026;
15/01/1995;00:15:40;14431,199999999999;152824,80000000005;28301,399999999998;76857,60000000002;94247,39999999997;46509,200000000026;
15/01/1995;00:15:50;14431,199999999999;152824,80000000005;28301,399999999998;76857,60000000002;94247,39999999997;46509,200000000026;
15/01/1995;00:16:00;14431,199999999999;153623,40000000008;28301,399999999998;76782,6;94031,19999999997;46293,00000000003;
15/01/1995;00:16:10;14431,199999999999;153623,40000000008;28301,399999999998;76782,6;94031,19999999997;46293,00000000003;
15/01/1995;00:16:20;14431,199999999999;153623,40000000008;28301,399999999998;76782,6;94031,19999999997;46293,00000000003;
15/01/1995;00:16:30;14431,199999999999;152683,60000000006;28301,399999999998;76350,20000000001;94613,59999999996;46293,00000000003;
15/01/1995;00:16:40;14431,199999999999;152683,60000000006;28301,399999999998;76350,20000000001;94613,59999999996;46293,00000000003;
15/01/1995;00:16:50;14431,199999999999;152683,60000000006;28301,399999999998;76350,20000000001;94613,59999999996;46293,00000000003;
15/01/1995;00:17:00;14431,199999999999;151818,80000000005;28808,799999999996;75626,60000000002;94106,19999999997;46001,800000000025;
15/01/1995;00:17:10;14431,199999999999;151818,80000000005;28808,799999999996;75626,60000000002;94106,19999999997;46001,800000000025;
15/01/1995;00:17:20;14431,199999999999;151818,80000000005;28808,799999999996;75626,60000000002;94106,19999999997;46001,800000000025;
15/01/1995;00:17:30;14431,199999999999;151810,00000000006;28301,399999999998;75119,20000000003;94472,39999999997;46584,200000000026;
15/01/1995;00:17:40;14431,199999999999;151810,00000000006;28301,399999999998;75119,20000000003;94472,39999999997;46584,200000000026;
15/01/1995;00:17:50;14431,199999999999;151810,00000000006;28301,399999999998;75119,20000000003;94472,39999999997;46584,200000000026;
15/01/1995;00:18:00;14139,999999999998;151743,80000000005;28010,199999999997;74686,80000000002;94114,99999999997;46584,200000000026;
15/01/1995;00:18:10;14139,999999999998;151743,80000000005;28010,199999999997;74686,80000000002;94114,99999999997;46584,200000000026;
15/01/1995;00:18:20;14139,999999999998;151743,80000000005;28010,199999999997;74686,80000000002;94114,99999999997;46584,200000000026;
15/01/1995;00:18:30;14139,999999999998;151893,8000000001;27793,999999999996;74038,20000000003;94039,99999999997;47166,60000000002;
15/01/1995;00:18:40;14139,999999999998;151893,8000000001;27793,999999999996;74038,20000000003;94039,99999999997;47166,60000000002;
15/01/1995;00:18:50;14139,999999999998;151893,8000000001;27793,999999999996;74038,20000000003;94039,99999999997;47166,60000000002;
15/01/1995;00:19:00;14139,999999999998;150812,8000000001;27577,799999999996;73314,60000000003;93025,19999999998;47091,60000000002;
15/01/1995;00:19:10;14139,999999999998;150812,8000000001;27577,799999999996;73314,60000000003;93025,19999999998;47091,60000000002;
15/01/1995;00:19:20;14139,999999999998;150812,8000000001;27577,799999999996;73314,60000000003;93025,19999999998;47091,60000000002;
15/01/1995;00:19:30;14356,199999999999;150821,6000000001;26854,2;73023,40000000004;92301,59999999999;47166,60000000002;
15/01/1995;00:19:40;14356,199999999999;150821,6000000001;26854,2;73023,40000000004;92301,59999999999;47166,60000000002;
15/01/1995;00:19:50;14356,199999999999;150821,6000000001;26854,2;73023,40000000004;92301,59999999999;47166,60000000002;
15/01/1995;00:20:00;14356,199999999999;149524,40000000017;27145,4;72732,20000000004;91719,2;46950,400000000016;
15/01/1995;00:20:10;14356,199999999999;149524,40000000017;27145,4;72732,20000000004;91719,2;46950,400000000016;
15/01/1995;00:20:20;14356,199999999999;149524,40000000017;27145,4;72732,20000000004;91719,2;46950,400000000016;
15/01/1995;00:20:30;14938,599999999999;149599,40000000014;27145,4;72948,40000000004;91719,2;47091,60000000002;
15/01/1995;00:20:40;14938,599999999999;149599,40000000014;27145,4;72948,40000000004;91719,2;47091,60000000002;
15/01/1995;00:20:50;14938,599999999999;149599,40000000014;27145,4;72948,40000000004;91719,2;47091,60000000002;
15/01/1995;00:21:00;14938,599999999999;149308,20000000016;26713,0;72516,00000000003;91361,79999999999;46659,20000000001;
15/01/1995;00:21:10;14938,599999999999;149308,20000000016;26713,0;72516,00000000003;91361,79999999999;46659,20000000001;
15/01/1995;00:21:20;14938,599999999999;149308,20000000016;26713,0;72516,00000000003;91361,79999999999;46659,20000000001;
15/01/1995;00:21:30;14647,399999999998;149017,00000000015;26929,2;72224,80000000005;90347,0;46659,20000000002;
15/01/1995;00:21:40;14647,399999999998;149017,00000000015;26929,2;72224,80000000005;90347,0;46659,20000000002;
15/01/1995;00:21:50;14647,399999999998;149017,00000000015;26929,2;72224,80000000005;90347,0;46659,20000000002;
15/01/1995;00:22:00;14647,399999999998;148434,60000000015;26929,199999999993;72224,80000000005;89332,2;46800,400000000016;
15/01/1995;00:22:10;14647,399999999998;148434,60000000015;26929,199999999993;72224,80000000005;89332,2;46800,400000000016;
15/01/1995;00:22:20;14647,399999999998;148434,60000000015;26929,199999999993;72224,80000000005;89332,2;46800,400000000016;
